Ааронка: ААРОН;
Абакумка, Абаша: АВВАКУМ;
Абрамка, Абраха, Абраша: АВРААМ, АВРААМИЙ;
Аброся: АМВРОСИЙ;
Ава: АВГУСТ, АВГУСТА, АВЕЛИНА, АВЕЛЬ, АВЕНИР, АВЕНИРА, АВЕНТИН, АВЕНТИНА, АВИАФА, АВИМ, АВИЯ, АВРАМ, АВРЕЛИАН, АВРЕЛИЙ, АВРЕЛИЯ, АВРЕЯ, АВРОРА, КЛАВДИЙ, КЛАВДИЯ, ОКТАВИАН, ОКТАВИЙ, ОКТАВИЯ, САВВА, ФАВИЙ, ФЛАВИЯ;
Аввакумка, Аввакуша: АВВАКУМ;
Августа, Августинка: АВГУСТИН, АВГУСТИНА;
Авда: АВДЕЙ, АВДОН;
Авдаша, Авдейка: АВДЕЙ;
Авдоня: АВДОН, ЕВДОКИЯ;
Авдотька: Авдотьюшка: ЕВДОКИЯ;
Авдоха, Авдоша: АВДОН, ЕВДОКИЯ;
Авдуля: ЕВДОКИЯ;
Авдуся: АВДЕЙ, ЕВДОКИЯ;
Авдюня, Авдюся, Авдюха: АВДЕЙ;
Авдюша: АВДЕЙ, АВДИКИЙ, АВДОН;
Авдя: АВДЕЙ, АВДЕЛАЙ, АВДИКИЙ, АВДОН;
Авелинка: АВЕЛИНА;
Авеля: АВЕЛЬ;
Авенирка: АВЕНИР, АВЕНИРА;
Авентинка: АВЕНТИН, АВЕНТИНА;
Авера, Аверьянка, Аверя: АВЕРКИЙ;
Авива: АВИВ;
Авивка: АВИВА;
Авидка: АВИД;
Авиля: АВЕЛЬ;
Авимка: АВИМ;
Авксентьюшка, Авксюта, Авксюша: АВКСЕНТИЙ;
Авраамка, Аврааха, Аврааша: АВРААМ, АВРААМИЙ;
Аврамка, Авраха, Авраша: АВРААМ, АВРААМИЙ, АВРАМ;
Авреля: АВРЕЛИАН, АВРЕЛИЙ, АВРЕЛИЯ;
Аврорка: АВРОРА;
Авря: ТАВРИОН;
Авсейка: АВСЕЙ;
Автома, Автономка, Автюха, Автя: АВТОНОМ;
Ага: АВГУСТА, АГАП, АГАПА, АГАПИЯ, АГАТА, АГАФА, АГАФОНИКА, АГАФЬЯ, АГЛАИДА, АГЛАЯ, АГНЕССА, АГНИЯ;
Агава: АГАВ;
Аганя: АГАП, АГАФОН, АГАФЬЯ, АГНЕССА;
Агапа: АГАПИЯ;
Агапитка: АГАПИТ;
Агапка: АГАП, АГАПИТ;
Агапоша: АГАФОН;
Агатка: АГАТА;
Агафангелка: АГАФАНГЕЛ;
Агафонка: АГАФОН;
Агафоня: АГАФОН, АГАФОНИК;
Агафочка: АГАФА;
Агафоша: АГАФОН, АГАФОНИК;
Агафьюшка: АГАФЬЯ;
Агаха: АГАВ, АГАВВА, АГАФЬЯ;
Агаша: АГАВ, АГАВВА, АГАП, АГАПИЯ, АГАФОН, АГАФОНИКА, АГАФЬЯ, АГЛАИДА, АГЛАЯ;
Агейка: АГГЕЙ;
Аглаидка: АГЛАИДА;
Агланя: АГЛАИДА, АГЛАЯ;
Аглаха: АГЛАЙ;
Аглаша: АГЛАИДА, АГЛАЙ, АГЛАЯ;
Аглаюшка: АГЛАЯ;
Аглая: АГЛАИДА;
Агна: АГНЕССА, АГНИЯ;
Агнюха: АГН;
Агнюша: АГН, АГНА, АГНЕССА, АГНИЙ, АГНИЯ;
Агня: АГН, АГНА, АГНЕССА, АГНИЙ, АГНИЯ;
Аграфенка, Агрипинка: АГРИППИНА;
Агрипка: АГРИППА;
Агуля: АГЛАИДА, АГЛАЯ;
Агуся: АГНЕССА, АГНИЯ;
